timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/19 22:19:42.297, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 23.88 W, 300.00 W, 47, 225 MHz
2026/09/19 22:19:43.298, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 18.72 W, 300.00 W, 47, 210 MHz
2026/09/19 22:19:44.299, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 20.42 W, 300.00 W, 47, 210 MHz
2026/09/19 22:19:45.300, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 15.24 W, 300.00 W, 47, 210 MHz
2026/09/19 22:19:46.301, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 10.05 W, 300.00 W, 46, 210 MHz
2026/09/19 22:19:47.304, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 9.97 W, 300.00 W, 46, 210 MHz
2026/09/19 22:19:48.305, 0, 0 %, 0 %, 801 MiB, 49140 MiB, 24.35 W, 300.00 W, 47, 2505 MHz
2026/09/19 22:19:49.305, 0, 9 %, 1 %, 1087 MiB, 49140 MiB, 57.63 W, 300.00 W, 47, 2505 MHz
2026/09/19 22:19:50.306, 0, 36 %, 5 %, 1089 MiB, 49140 MiB, 92.68 W, 300.00 W, 49, 2715 MHz
2026/09/19 22:19:51.306, 0, 46 %, 9 %, 717 MiB, 49140 MiB, 120.12 W, 300.00 W, 53, 2715 MHz
2026/09/19 22:19:52.307, 0, 48 %, 11 %, 717 MiB, 49140 MiB, 125.79 W, 300.00 W, 51, 2715 MHz
2026/09/19 22:19:53.307, 0, 45 %, 10 %, 1087 MiB, 49140 MiB, 124.93 W, 300.00 W, 54, 2715 MHz
2026/09/19 22:19:54.308, 0, 48 %, 11 %, 717 MiB, 49140 MiB, 149.73 W, 300.00 W, 53, 2715 MHz
2026/09/19 22:19:55.308, 0, 57 %, 29 %, 875 MiB, 49140 MiB, 153.41 W, 300.00 W, 54, 2715 MHz
2026/09/19 22:19:56.309, 0, 55 %, 20 %, 717 MiB, 49140 MiB, 155.83 W, 300.00 W, 52, 2715 MHz
2026/09/19 22:19:57.310, 0, 46 %, 9 %, 717 MiB, 49140 MiB, 148.09 W, 300.00 W, 52, 2715 MHz
2026/09/19 22:19:58.310, 0, 47 %, 11 %, 1087 MiB, 49140 MiB, 152.43 W, 300.00 W, 52, 2700 MHz
2026/09/19 22:19:59.311, 0, 45 %, 10 %, 717 MiB, 49140 MiB, 159.26 W, 300.00 W, 55, 2700 MHz
2026/09/19 22:20:00.311, 0, 47 %, 16 %, 1087 MiB, 49140 MiB, 157.15 W, 300.00 W, 56, 2700 MHz
2026/09/19 22:20:01.313, 0, 48 %, 11 %, 717 MiB, 49140 MiB, 159.02 W, 300.00 W, 56, 2700 MHz
2026/09/19 22:20:02.313, 0, 50 %, 13 %, 717 MiB, 49140 MiB, 150.63 W, 300.00 W, 56, 2700 MHz
2026/09/19 22:20:03.315, 0, 45 %, 9 %, 717 MiB, 49140 MiB, 124.32 W, 300.00 W, 52, 2700 MHz
2026/09/19 22:20:04.315, 0, 39 %, 6 %, 715 MiB, 49140 MiB, 91.34 W, 300.00 W, 51, 2700 MHz
2026/09/19 22:20:05.316, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 60.22 W, 300.00 W, 51, 2505 MHz
2026/09/19 22:20:06.317, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 53.99 W, 300.00 W, 50, 2505 MHz
2026/09/19 22:20:07.317, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 45.62 W, 300.00 W, 49, 555 MHz
2026/09/19 22:20:08.318, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 32.29 W, 300.00 W, 49, 330 MHz
2026/09/19 22:20:09.318, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 18.74 W, 300.00 W, 49, 210 MHz
2026/09/19 22:20:10.319, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 20.07 W, 300.00 W, 48, 210 MHz
2026/09/19 22:20:11.325, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 22.28 W, 300.00 W, 48, 210 MHz
2026/09/19 22:20:12.325, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 22.14 W, 300.00 W, 48, 210 MHz
2026/09/19 22:20:13.331, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 22.14 W, 300.00 W, 48, 210 MHz
2026/09/19 22:20:14.331, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 22.07 W, 300.00 W, 48, 210 MHz
2026/09/19 22:20:15.332, 0, 0 %, 0 %, 739 MiB, 49140 MiB, 34.24 W, 300.00 W, 48, 2505 MHz
2026/09/19 22:20:16.332, 0, 20 %, 1 %, 865 MiB, 49140 MiB, 59.02 W, 300.00 W, 49, 2505 MHz
2026/09/19 22:20:17.333, 0, 50 %, 13 %, 1089 MiB, 49140 MiB, 97.73 W, 300.00 W, 51, 2715 MHz
2026/09/19 22:20:18.333, 0, 51 %, 17 %, 1087 MiB, 49140 MiB, 124.13 W, 300.00 W, 51, 2715 MHz
2026/09/19 22:20:19.334, 0, 48 %, 9 %, 717 MiB, 49140 MiB, 124.88 W, 300.00 W, 51, 2715 MHz
2026/09/19 22:20:20.335, 0, 56 %, 16 %, 1087 MiB, 49140 MiB, 128.66 W, 300.00 W, 54, 2715 MHz
2026/09/19 22:20:21.335, 0, 58 %, 26 %, 1087 MiB, 49140 MiB, 156.82 W, 300.00 W, 52, 2700 MHz
2026/09/19 22:20:22.336, 0, 51 %, 13 %, 1087 MiB, 49140 MiB, 157.98 W, 300.00 W, 56, 2700 MHz
2026/09/19 22:20:23.337, 0, 47 %, 11 %, 717 MiB, 49140 MiB, 149.43 W, 300.00 W, 56, 2700 MHz
2026/09/19 22:20:24.337, 0, 57 %, 24 %, 1087 MiB, 49140 MiB, 147.20 W, 300.00 W, 53, 2700 MHz
2026/09/19 22:20:25.338, 0, 50 %, 12 %, 1087 MiB, 49140 MiB, 151.27 W, 300.00 W, 56, 2700 MHz
2026/09/19 22:20:26.339, 0, 49 %, 12 %, 1087 MiB, 49140 MiB, 158.05 W, 300.00 W, 54, 2700 MHz
2026/09/19 22:20:27.339, 0, 54 %, 25 %, 1087 MiB, 49140 MiB, 160.16 W, 300.00 W, 55, 2700 MHz
